Mining, Quarrying, and Oil and Gas Extraction
Yous3ry, Python_Automated_DCA, petroleum
jshumway0475, Petroleum, petroleum
derrickturk, oil-gas-mock-data, petroleum
equinor, lcm, petroleum
MosGeo, BPSMAutoToolbox, petroleum
derrickturk, shiny-aRpsDCA, petroleum
oilmap, oilmap, petroleum
lanl-ansi, PetroleumModels.jl, petroleum
Ali-Saud, ML-in-PE, petroleum
BDI-UFRGS, O3POntology, petroleum
derrickturk, typecurve.js, petroleum
daimessdn, las_converter, petroleum
softlandia, glasio, petroleum
mtsousa, FER-2022-2_PetroleumReservoirSimulation, petroleum
derrickturk, libdca, petroleum
oilshit, las_converter, petroleum
Marta-Barea, machine-learning_VisNIRS-Waxes-Type-Classification, petroleum
lelliott-geo, Springboard_Capstone_Project1, petroleum
oilshit, oilprice-api, petroleum
daimessdn, py_lopatin, petroleum
oilshit, oilprice_extract, petroleum
MaximeGuinard, Oil-MX, petroleum
daimessdn, petro-codes, petroleum
m4theus4ndr4de, regression-oil-production-prediction, petroleum
oilshit, gloss-oleum, petroleum
oilshit, lifecycle, petroleum
Tbarros1996, _petroleo_br, petroleum
daimessdn, petroleum_notes, petroleum
underr, eduardo, petroleum
Marta-Barea, machine-learning_HSGCMS_ParaffinWax_Odor, petroleum
WilsonKinyua, dalbitpetroleum.com, petroleum
eu-cristofer, vba-pump-performance, petroleum
aggg97, CapIV, petroleum
hjfitz, spe-site, petroleum
daimessdn, gloss-oleum, petroleum
amirhossein92, petroleum.dictionary, petroleum
Marta-Barea, machine-learning_VisNIRS-Waxes-Type-mixture-Regression, petroleum
TankerTrackers, convert, petroleum
oilshit, IPyR, petroleum
dudley-fitzgerald, AutomatedWellLogCorrelation, well-logs
JustinGOSSES, predictatops, well-logs
JustinGOSSES, wellioviz, well-logs
pro-well-plan, petrodc, well-logs
andymcdgeo, las_explorer, well-logs
vkazei, deeplogs, well-logs
JustinGOSSES, wellio.js, well-logs
Oslandia, QGeoloGIS, well-logs
abhishekdbihani, synthetic_well-log_polynomial_regression, well-logs
laslibs, las-js, well-logs
JustinGOSSES, MannvilleGroup_Strat_Hackathon, well-logs
aruss175, DLISIO_Notebooks, well-logs
luthfigeo, DTW-Stratigraphic-Correlation, well-logs
laslibs, las-go, well-logs
laslibs, las-py, well-logs
imranfadhil, logASCII_viewer, well-logs
dianaceroallard, RatonBasin_Geothermal, well-logs
almersawi, log-reader, well-logs
daeIy, PyNPEFA, well-logs
hydrospanner, lasio-test, well-logs
dcslagel, las-util-cpp, well-logs
dcslagel, las-util-django, well-logs
iykekings, las-js, well-logs
pafox38, Automate-the-Geo-Stuff, well-logs
RamySaleem, Machine-Predict-Lithologies-Using-Wireline-logs, well-logs
Ayberk-Uyanik, SGR_Logs_Interpreter, well-logs
RamySaleem, Reservoir-Quality-in-Producing-Sandstones, well-logs
roguLINA, transformers_for_oil_gas, well-logs
luthfigeo, Well-Log-Data-Availability, well-logs
luthfigeo, Litho-Classification, well-logs
firasisme, GA-vs-NeuralNetwork, well-logs
oilshit, las_converter, well-logs
luthfigeo, Log-Alias, well-logs
luisteran5296, Interpretacion-automatizada-de-registros-geofisicos-de-pozos, well-logs
MosGeo, LasToolbox, well-logs
taiwofawumi, DS_python-well-logs-plot, well-logs
Iron486, SPWLA_PDDA_SIG_machine_learning_competition, well-logs
BeardedBeaver, dlas, well-logs
dcslagel, las-util-php, well-logs
aifenaike, Acoustic-Log-Estimation_Using-ML, well-logs
luthfigeo, Synthetic-Sonic, well-logs
aifenaike, Logio, well-logs
arjavanb, Vs_Estimation, well-logs
JulioCMS1500, Electrofacies-classification, well-logs
maribickpostanes, Displaying-Well-Log-Parameters--Plots-and-Animations, oilandgas
maribickpostanes, Interactive-Horizon-Surfaces-Plot, oilandgas
maribickpostanes, Simple-Production-Data-Plotting, oilandgas
maribickpostanes, Interactive-Well-Trajectory-Plot, oilandgas
ActiveMargins, ProductionMapping, oilandgas
ashrafalaghbari, odc, oilandgas
oilshit, oilprice-api, oilandgas
oilshit, oilprice_extract, oilandgas
enriquemezav, spwlaunisc_PythonAppliedOG, oilandgas
Ayberk-Uyanik, GeoCos-v2.0, oilandgas
maribickpostanes, Interactive-Horizon-Surfaces-Plot, oil-and-gas-industry
maribickpostanes, Interactive-Well-Trajectory-Plot, oil-and-gas-industry
maribickpostanes, Interactive-Seismic-Data-Section-Plot, oil-and-gas-industry
maribickpostanes, Philippine-Historical-Petroleum-Production, oil-and-gas-industry
