Educational Services
User, Repo, Topic
Necrobot-Private, NecroBot, Education
3kh0, website-v3, Education
prathimacode-hub, Awesome_Python_Scripts, Education
icalk-nlp, EduChat, Education
SwiftEducation, presentations, Education
paralax, lfi-labs, Education
cloudxlab, ml, Education
tesseralis, polyhedra-viewer, Education
30-seconds, 30-seconds-of-git, Education
SalusaSecondus, CryptoGotchas, Education
octallium, modern-python-101, Education
openedx, edx-app-android, Education
TheAlgorithms, Solidity, Education
sjsyrek, haskell-study-startup, Education
civboot, civboot, Education
Dyakonov, PZAD, Education
edrys-org, edrys, Education
lesnitsky, howtodothisinflutter, Education
oppia, oppia-android, Education
kobra-dev, Kobra, Education
OpenOLAT, OpenOLAT, Education
LukasKalbertodt, programmieren-in-rust, Education
uPortal-Project, uPortal, Education
mawoka-myblock, ClassQuiz, Education
AnubisLMS, Anubis, Education
Hash-Studios, e-learning-app, Education
enesozturk, awesome-course, Education
hotosm, learnosm, Education
data-edu, data-science-in-education, Education
elmsln, elmsln, Education
OpenCircuits, OpenCircuits, Education
hoochanlon, helpdesk-guide, Education
PrejudiceNeutrino, YouTube_Channels, Education
vittorioromeo, Tutorials, Education
wayfair-archive, awesome-learning, Education
OperationCode, operationcode_old_site, Education
kevinlin1, just-the-class, Education
alanbjohnston, CubeSatSim, Education
openedx, edx-app-ios, Education
shreyashankar, datasets-for-good, Education
redpwn, rctf, Education
AbdulMalikDev, ounotes, Education
bodrovis, Sitepoint-source, Education
iteachmachines, Free-Computer-Science-University, Education
rogergcc, AndroidEducationApp, Education
marwahmanbir, OpenEDU, Education
brettchalupa, projectbook, Education
skbkontur, dotEducation, Education
hpi-schul-cloud, jitsi-deployment, Education
lucasfrag, Kali-Linux-Tools-Interface, Education
quantum-ods, qmlcourse, Education
mumuki, mumuki-laboratory, Education
edwardlib, observations, Education
martin-nikolov, Telerik-Academy, Education
Lakens, statistical_inferences, Education
geo-python, site, Education
UBC-MDS, public, Education
AcademicsToday, academicstoday-django, Education
Canvasbird, canvasboard, Education
inuyasha2012, pypsy, Education
uccser, cs-unplugged, Education
ArabsInBlockchain, BC-Roadmap, Education
plutoless, eEducation, Education
WorldFamousElectronics, PulseSensorPlayground, Education
erbilnas, cs-sakaryauniversity, Education
cat-a-flame, CSSHell, Education
UCL-INGI, INGInious, Education
popcodeorg, popcode, Education
zalo, zalo.github.io, Education
expertiza, expertiza, Education
numbas, Numbas, Education
bilgecakar, Sakarya-University-Computer-Engineering-Department, Education
30-seconds, 30-seconds-of-csharp, Education
dair-ai, dair-ai.github.io, Education
cdeweyx, Hitchhikers-Guide-Machine-Learning, Education
LiaScript, LiaScript, Education
aau-network-security, haaukins, Education
PowerPointLabs, PowerPointLabs, Education
kvakil, venus, Education
open-spaced-repetition, free-spaced-repetition-scheduler, Education
holtwick, peer2school, Education
kidscancode, godot_tutorials, Education
ProtoSchool, protoschool.github.io, Education
carpentries, instructor-training, Education
PuneethReddyHC, event-management, Education
novoid, org-mode-workshop, Education
Tebs-Lab, intro-to-deep-learning, Education
hackclub, OnBoard, Education
microsoft, o365-moodle, Education
tableaunoir, tableaunoir, Education
benjie-git, CardStock, Education
wkoszek, cpu60, Education
Erblocker, YRSSF, Education
TUM-Dev, gocast, Education
EduMIPS64, edumips64, Education
dodona-edu, dolos, Education
